PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes
39,5Qkr/p4p2/1q2pPp1/4P1p1/3p2N1/7P/PP3PK1/2R5 b - - 0 28,g8f8 c1c8 b6d8 c8d8,622,102,75,226,endgame mate mateIn2 short
1,2r3k1/5p2/2p2Pp1/2p3q1/6P1/1rP4Q/4R3/4R1K1 b - - 0 39,g5f6 e2e8 c8e8 e1e8 g8g7 h3h8,873,84,95,1166,endgame long mate mateIn3
2,r1b2rk1/pp4pp/1q2pb2/1P1p4/3n4/P2BPN2/6PP/RN1Q1RK1 w - - 0 15,e3d4 f6d4 g1h1 d4a1,950,77,85,134,crushing fork middlegame short
3,3rqr1k/1p1b2pQ/p1p2p2/4pP2/4n3/1B2BR2/PPP3PP/R5K1 b - - 0 21,h8h7 f3h3 e8h5 h3h5,637,99,94,658,mate mateIn2 middlegame short
4,7r/3q1k2/Q1R3p1/P2p4/2nPpPp1/6Pr/5K2/R4N2 b - - 0 35,h3h2 f1h2 h8h2 f2g1,791,77,98,929,crushing middlegame short
5,6k1/5pp1/7p/2N5/2R1N3/5nPK/5P1P/6r1 w - - 9 39,h3g4 f3e5 g4f4 e5c4,987,76,97,1561,advantage endgame fork master short
6,3r4/2k2p1p/pp2pp2/2p5/3nN3/6P1/PPP2PRP/2K5 w - - 2 23,e4f6 d4e2 c1b1 d8d1,966,89,60,33,backRankMate endgame mate mateIn2 short
7,Q1bk3r/2p2pNp/8/3PP3/2p3q1/B1P5/6BP/7K w - - 3 33,a8c6 g4d1 g2f1 d1f1,790,84,80,322,mate mateIn2 middlegame short
8,r4rk1/ppQ2pp1/3p2q1/1P1B4/3P4/P3n1P1/7P/R4RK1 w - - 0 24,d5f7 f8f7 c7f7 g6f7 f1f7 g8f7,924,96,95,130,advantage long middlegame
9,r5k1/5p2/5Bp1/p6p/2r4P/5pK1/P2R1P2/8 b - - 1 32,a8a6 d2d8 g8h7 d8h8,663,101,52,48,endgame mate mateIn2 short
