PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes
1,k7/P7/1K6/1N6/8/4p1p1/3n4/8 b - - 1 59,d2c4 b6a6 e3e2 b5c7,1475,78,96,15165,defensiveMove endgame knightEndgame mate mateIn2 short
2,5k2/3Pb3/8/pK6/4R3/1Bp4p/P5r1/8 b - - 6 52,c3c2 e4f4 f8g7 f4f7,1444,74,93,5518,advantage endgame short
3,3r1k2/pp3p2/2p4Q/3q3N/7P/8/1P3N1K/8 b - - 0 45,f8e8 h5f6 e8e7 f6d5,1190,74,96,17265,crushing endgame fork short
4,rBb1qrk1/pp2bppp/4p3/8/2B5/1QP5/PP3PPP/3RK1NR b K - 0 11,a8b8 c4b5 e8d8 d1d8,1351,75,93,4628,advantage master middlegame short trappedPiece
5,6k1/1p2npp1/p4bqp/8/P7/4BN1P/1P3PP1/3Q2K1 b - - 0 26,f6b2 d1d8 g8h7 d8e7 g6b1 g1h2,1241,74,98,3865,crushing defensiveMove endgame fork long
6,1k2N3/pp6/7p/4p3/4P3/P1NP1nqP/1P4R1/5QK1 w - - 3 36,g1h1 g3h3 g2h2 h3f1,1131,82,92,3896,endgame mate mateIn2 short
7,2kr4/p1pr1p1p/6b1/2p1R3/8/NPP5/P2P2P1/3R3K w - - 1 24,e5e2 g6h5 d1e1 h5e2,1384,72,96,17452,crushing endgame short
8,5rk1/R4pp1/1p5p/3Q4/1PPp2q1/3P2P1/5P2/4nK2 w - - 0 34,f1e1 f8e8 e1f1 g4h3 d5g2 e8e1 f1e1 h3g2,1715,74,97,9867,crushing deflection endgame veryLong
9,2rk1bnr/Q1q1pppp/1n6/8/2BP4/4PP2/3N1P1P/R1B1K2R w KQ - 1 14,c4f7 c7a7 a1a7 c8c1 e1e2 c1h1,1592,76,96,12017,advantage discoveredAttack long opening skewer
10,8/p4q1k/1p1b4/1P3rpp/3P4/6P1/1B2Q2P/4R1K1 w - - 2 30,e2e6 f5f1 e1f1 f7e6,1064,75,95,5201,crushing deflection endgame short
11,8/8/2R3p1/8/7p/4P1PP/1b3k1K/1q5Q w - - 0 42,h1b1 h4g3 h2h1 g3g2 h1h2 b2e5,1232,73,96,19151,advancedPawn endgame long mate mateIn3
12,5rk1/ppq2ppp/3bp3/3p1nP1/3P3P/2P1B3/PP2Q1P1/R4RK1 w - - 1 19,h4h5 d6h2 g1h1 f5g3 h1h2 g3e2,1516,76,92,7053,crushing discoveredAttack fork long middlegame
13,3r4/ppp1kp1p/4np2/7R/8/2N5/PPPrRPPP/6K1 w - - 8 21,g1f1 d2e2 f1e2 e6f4 e2e3 f4h5,1459,73,97,23029,attraction crushing endgame fork long
14,8/4k3/1p3P2/3pP1p1/bP1P2pp/3B4/5KP1/8 b - - 0 34,e7e6 d3f5 e6f5 f6f7,1719,77,96,7736,advancedPawn bishopEndgame crushing endgame sacrifice short
15,2rq1rk1/bp3p1p/p3p1p1/1P2P3/5P2/P3p1NR/6PP/RQ5K b - - 1 23,d8d2 g3e4 d2d8 e4f6 d8f6 e5f6,1885,76,94,8994,crushing kingsideAttack long middlegame
16,r3r1k1/pp4pp/2pq4/3nNQ1b/3P4/4pP1P/PP2P1B1/1K1R3R b - - 0 19,g7g6 f5f7 g8h8 f7e8 a8e8 e5f7 h8g7 f7d6,1528,75,96,11511,clearance crushing fork middlegame sacrifice veryLong
17,8/4Kb2/p5k1/6Pp/4P2P/P1P5/8/8 b - - 6 57,g6g7 e4e5 f7c4 e5e6,1329,75,96,11481,bishopEndgame crushing endgame quietMove short
18,r1b3Q1/p4R2/4p1p1/1p4kp/8/1KPB1n2/PP3q2/8 b - - 1 42,a7a6 g8g6 g5h4 f7f4 h4h3 g6h5,1375,76,95,10250,crushing deflection long middlegame
19,3r2k1/p6p/1p1q2p1/3P1p2/8/3Q2PP/P4P2/4R1K1 b - - 1 28,d6d5 e1e8 d8e8 d3d5,1049,75,95,3243,advantage deflection endgame short
20,3r1k2/2R3pr/1R6/p4p2/8/P5KP/1P4P1/8 w - - 6 43,g3f4 g7g5 f4g5 h7c7,1850,73,96,11851,advantage discoveredAttack endgame rookEndgame short
21,5rk1/2p3p1/p1q1pn1p/1p2p3/4P2P/1QP2N1P/PP4P1/3R2K1 w - - 1 27,f3e5 c6c5 d1d4 c5e5,1067,75,98,3867,crushing endgame fork short
