PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,rand
1,8/2p2p1k/2r3pp/8/Pq6/4Q1PP/5P1K/3R4 b - - 1 36,c6a6 e3e8 b4b2 e8f7,2153,88,69,218223,crushing endgame short,0.320826295
2,3r2k1/3q1ppp/1P6/8/2Qbp3/6PP/6K1/3R4 b - - 0 34,d7d5 c4d5 d8d5 b6b7 d5b5 d1d4,2047,77,94,11021,advancedPawn crushing endgame long,0.976424384
3,rn1qk2r/pp3ppp/3bp1b1/3p4/3Pn2N/3BB3/PPP2PPP/RN1Q1RK1 w kq - 4 10,h4g6 d6h2 g1h1 h7g6,2098,73,93,10396,crushing intermezzo opening short,0.442876462
4,5r1k/bp6/p1p3p1/4p2p/7P/2PRNrP1/PP2RP2/6K1 w - - 1 29,d3d7 f3f2 e2f2 a7e3,2015,73,95,10336,capturingDefender crushing deflection endgame pin short,0.731532798
5,r5k1/2p1pp2/pp4p1/1q1r4/5P2/2QP2R1/PP6/1K4R1 b - - 0 32,d5h5 g3g6 f7g6 g1g6 g8f7 c3g7 f7e8 g7g8 e8d7 g8e6 d7d8 g6g8,2013,72,95,10180,crushing endgame sacrifice veryLong,0.612947642
6,r1b1r1k1/pp1p1Npp/2p2q2/2bn3Q/2B5/3P4/PPP2PPP/R1B2RK1 w - - 0 12,c4d5 f6f2 g1h1 f2f1,2013,75,95,9604,deflection kingsideAttack mate mateIn2 opening short,0.07573953
7,8/4R1pp/5pk1/1ppb4/5PPP/8/2r2B2/6K1 b - - 0 37,c5c4 f4f5 g6h6 f2e3 g7g5 f5g6 h6g6 h4h5,2033,74,96,9239,attraction discoveredAttack enPassant endgame mate mateIn4 veryLong,0.81749441
8,3qk1nr/p2rbpp1/1p2p2p/2p1P2Q/2Pn4/1PN1B1PN/P4P1P/3R1RK1 w k - 6 18,c3b5 g7g6 h5g4 h6h5 g4e4 d4e2 g1g2 d7d1 f1d1 d8d1,2071,74,95,9140,advantage discoveredAttack middlegame veryLong,0.64727011
9,7k/pp4p1/4n2p/4Q3/1KPrN3/4q2P/PP6/R7 b - - 0 31,e6g5 e5e8 h8h7 e4f6 g7f6 e8e3,2088,79,94,8841,crushing discoveredAttack endgame long,0.755230822
10,8/6pp/3Bp2k/p2pP2P/P2bp1PK/8/r7/5R2 b - - 2 37,d4f2 f1f2 g7g5 h4g3 a2f2 g3f2,2049,78,93,8762,crushing endgame long,0.403541524
11,r2qk1r1/pbppbp2/1pP1pn2/8/2P5/1P2Pp2/PB2B1PP/RN1Q1RK1 w q - 0 13,c6b7 g8g2 g1h1 f3e2,2006,77,93,8759,advancedPawn crushing kingsideAttack master opening short,0.575224394
12,7k/ppp3rr/1b1p1Q2/4p3/4P1q1/P2P2B1/1PP1RP1P/R5K1 w - - 0 24,f6f5 g4g3 h2g3 g7g3 g1f1 h7h1,2037,77,95,8609,kingsideAttack long mate mateIn3 middlegame pin sacrifice,0.323889161
13,r2q1rk1/pb2pp1p/6p1/2n5/3bPP2/2N5/1P2B1PP/R1BQ1R1K b - - 4 18,c5e4 c3e4 b7e4 a1a4,2184,76,94,8236,advantage opening short,0.125395928
14,8/p7/8/1PP1p3/4K1k1/2b3P1/8/8 b - - 0 48,g4g3 b5b6 a7b6 c5c6,2083,72,93,8138,bishopEndgame crushing endgame short,0.645039443
15,5rk1/5ppb/1pN5/3P1P1P/1PP1n3/4q2P/1QK5/r4BR1 b - - 6 31,a1a2 g1g7 g8h8 g7g8 h8g8 c6e7,2194,73,94,8081,attraction doubleCheck kingsideAttack long mate mateIn3 middlegame sacrifice,0.69486423
16,3N4/1P2R3/2pp4/pr6/8/2n5/2P2k2/2K5 w - - 7 47,d8c6 c3a2 c1d2 b5d5 c6d4 d5d4,2073,75,94,7906,endgame long mate mateIn3,0.12979799
17,8/8/p5p1/2pk1p1p/5P1P/1PP1K1P1/8/8 w - - 1 35,e3d3 c5c4 b3c4 d5c5,2110,75,93,7796,crushing endgame pawnEndgame short,0.662250598
18,2r1r2k/ppq3pp/3b1p2/3Q3R/3P4/4B3/PP3PPP/R5K1 w - - 1 20,d5f5 c7c1 a1c1 c8c1 e3c1 e8e1,2077,74,94,7723,long mate mateIn3 middlegame sacrifice,0.8012881
19,3r1r2/p5k1/2p4R/1pp2pK1/4N3/8/PPP5/7R b - - 1 27,f5e4 h6g6 g7f7 h1h7 f7e8 g6e6,2250,77,94,7703,endgame exposedKing long mate mateIn3 rookEndgame,0.657189772
20,r2qkb1r/pp2nppp/2n1b3/2ppp1P1/2P4P/1QN5/PP1PPPB1/R1B1K1NR b KQkq - 4 7,d8d7 c4d5 e7d5 g2d5,2014,79,93,7645,advantage fork opening short,0.543221024
21,1k2r3/p2p4/1p1q2p1/3bPrB1/Q6P/1P4P1/P7/R3R1K1 b - - 0 28,f5e5 e1e5 e8e5 g5f4 d6c5 g1f1,2088,73,94,7372,advantage defensiveMove long middlegame pin,0.317031914
22,8/6r1/3kpRp1/6Pp/3K1P1P/8/8/8 b - - 0 61,d6e7 d4e5 g7g8 f6e6 e7f7 f4f5,2114,75,93,7144,crushing endgame long rookEndgame,0.269210074
23,2r3k1/4qppp/4p3/2p1Q3/4P3/2R5/rP3PPP/2R3K1 b - - 0 26,a2b2 c3g3 g7g6 e5b2,2159,76,94,6946,crushing discoveredAttack endgame short,0.010351962
24,5k2/1p6/8/4p2B/1R2Pp1p/3r1KpP/8/8 w - - 1 50,f3e2 d3e3 e2f1 f4f3 h5f3 e3f3,2342,79,91,6922,crushing endgame long,0.232977606
25,2r5/R7/1p5p/1kq1pr2/1N1p4/P2P1p2/1PP4P/2K2Q2 b - - 0 36,c8c7 a3a4 b5b4 f1e1 c5c3 b2c3,2208,75,95,6592,crushing endgame long sacrifice,0.439944342
